"","event","points","total_points","rank","rank_sort","overall_rank","bank","value","event_transfers","event_transfers_cost","points_on_bench","percentile_rank","rank_percentile","line_color"
"1",1,83,83,353784,357239,353784,0,1000,0,0,4,NA,3.57239,14.65118
"2",2,56,139,1463857,1465118,339335,0,1004,1,0,3,NA,14.65118,25.833
"3",3,50,189,2582051,2583300,341057,0,1011,1,0,9,NA,25.833,39.11465
"4",4,75,264,3910181,3911465,423240,0,1013,0,0,7,NA,39.11465,88.63587
"5",5,34,298,8863074,8863587,1116337,12,1013,2,0,2,NA,88.63587,21.91285
"6",6,79,377,2190098,2191285,849686,19,1012,1,0,1,NA,21.91285,11.38654
"7",7,67,444,1138340,1138654,368922,10,1014,1,0,8,NA,11.38654,24.07371
"8",8,52,496,2405990,2407371,278233,0,1012,0,0,1,NA,24.07371,4.97478
"9",9,94,590,496300,497478,129713,0,1019,0,0,8,NA,4.97478,47.64584
"10",10,68,658,4762993,4764584,137238,5,1022,2,0,8,NA,47.64584,87.66618
"11",11,22,680,8765023,8766618,228899,5,1028,0,0,-3,NA,87.66618,10.4425
"12",12,82,762,1043411,1044250,155073,1,1031,2,0,16,NA,10.4425,9.27075
"13",13,59,821,926426,927075,84614,1,1034,0,0,3,NA,9.27075,1.74118
"14",14,78,899,173900,174118,30410,0,1040,2,0,8,NA,1.74118,80.04894
"15",15,29,928,8002258,8004894,48180,1,1040,1,0,2,NA,80.04894,8.96546
"16",16,62,990,895058,896546,27312,18,1041,1,0,2,NA,8.96546,3.64483
"17",17,70,1056,363057,364483,18472,86,1047,2,4,0,NA,3.64483,23.21434
"18",18,47,1103,2318691,2321434,20277,86,1053,1,0,17,NA,23.21434,60.47002
"19",19,36,1139,6045127,6047002,30890,49,1057,1,0,16,NA,60.47002,6.12884
"20",20,89,1228,612076,612884,24674,49,1060,0,0,14,NA,6.12884,10.14495
"21",21,68,1296,1013544,1014495,18356,115,1056,2,0,3,10,10.14495,31.06085
"22",22,57,1353,3104836,3106085,20561,115,1059,0,0,6,30,31.06085,32.1317
"23",23,67,1420,3212133,3213170,32049,20,1059,1,0,11,35,32.1317,4.52861
"24",24,87,1507,452114,452861,18352,14,1063,2,0,4,5,4.52861,22.55753
"25",25,85,1588,2254429,2255753,26100,38,1059,2,4,16,25,22.55753,37.31844
"26",26,52,1640,3730712,3731844,31804,44,1062,1,0,0,40,37.31844,4.23954
"27",27,88,1728,422860,423954,21922,27,1065,1,0,15,5,4.23954,23.98498
"28",28,55,1779,2397118,2398498,30057,102,1068,2,4,11,25,23.98498,23.27128
"29",29,19,1794,2325963,2327128,34033,68,1066,2,4,0,25,23.27128,21.02808
"30",30,60,1854,2101228,2102808,35802,2,1056,0,0,13,20,21.02808,16.71916
"31",31,67,1921,1671130,1671916,29816,9,1054,1,0,2,20,16.71916,27.27771
"32",32,64,1985,2725559,2727771,30666,9,1060,0,0,2,30,27.27771,23.09427
"33",33,75,2060,2308614,2309427,29552,1,1062,2,0,0,25,23.09427,3.2191
"34",34,127,2187,321507,321910,14113,1,1062,0,0,29,5,3.2191,6.07834
"35",35,78,2265,607508,607834,12678,72,1060,1,0,0,10,6.07834,8.15027
"36",36,98,2359,814520,815027,16367,67,1063,2,4,3,10,8.15027,25.72771
"37",37,103,2458,2572426,2572771,41158,25,1065,2,4,0,25,25.72771,58.88213
"38",38,50,2504,5887972,5888213,69980,15,1064,2,4,21,55,58.88213,NA
